無垢なる竜の剣,剣,グラディウス・ルーベル得意武器が「剣」のキャラの攻撃力とHP上昇(大),0,195,2594
無垢なる竜の短剣,短剣,シーカ・ルーベル得意武器が「短剣」のキャラの攻撃力とHP上昇(大),0,224,2402
無垢なる竜の槍,槍,ランセア・ルーベル得意武器が「槍」のキャラの攻撃力とHP上昇(大),0,238,2350
無垢なる竜の斧,斧,ラブリュス・ルーベル得意武器が「斧」のキャラの攻撃力とHP上昇(大),0,165,2844
無垢なる竜の杖,杖,バクラム・ルーベル得意武器が「杖」のキャラの攻撃力とHP上昇(大),0,270,2162
無垢なる竜の筒,銃,アルマ・ルーベル得意武器が「銃」のキャラの攻撃力とHP上昇(大),0,157,2857
無垢なる竜の爪,格闘,ルクトール・ルーベル得意武器が「格闘」のキャラの攻撃力とHP上昇(大),0,237,2328
無垢なる竜の弓,弓,アルクス・ルーベル得意武器が「弓」のキャラの攻撃力とHP上昇(大),0,206,2608
無垢なる竜の弦,楽器,ムーシカ・ルーベル得意武器が「楽器」のキャラの攻撃力とHP上昇(大),0,224,2245
無垢なる竜の刃,刀,マカエラ・ルーベル得意武器が「刀」のキャラの攻撃力とHP上昇(大),0,163,2856
オメガスウォード,剣,グラディウス・ルーベル得意武器が「剣」のキャラの攻撃力とHP上昇(大),0,228,3029
オメガバゼラード,短剣,シーカ・ルーベル得意武器が「短剣」のキャラの攻撃力とHP上昇(大),0,263,2805
オメガバルーチャ,槍,ランセア・ルーベル得意武器が「槍」のキャラの攻撃力とHP上昇(大),0,278,2746
オメガファルシャ,斧,ラブリュス・ルーベル得意武器が「斧」のキャラの攻撃力とHP上昇(大),0,193,3317
オメガロッド,杖,バクラム・ルーベル得意武器が「杖」のキャラの攻撃力とHP上昇(大),0,317,2525
オメガシューター,銃,アルマ・ルーベル得意武器が「銃」のキャラの攻撃力とHP上昇(大),0,184,3332
オメガクロー,格闘,ルクトール・ルーベル得意武器が「格闘」のキャラの攻撃力とHP上昇(大),0,277,2717
オメガボウ,弓,アルクス・ルーベル得意武器が「弓」のキャラの攻撃力とHP上昇(大),0,241,3042
オメガストリング,楽器,ムーシカ・ルーベル得意武器が「楽器」のキャラの攻撃力とHP上昇(大),0,256,2621
オメガブレイド,刀,マカエラ・ルーベル得意武器が「刀」のキャラの攻撃力とHP上昇(大),0,190,3335
