[吼嵐槍]ティアマトグレイブ・マグナ,風,槍,嵐竜方陣・守護II,,292,2600,ティアマト・マグナ討伐戦,2018/3/10
[吼嵐斧]ティアマトアムード・マグナ,風,斧,嵐竜方陣・守護II,,216,2990
[吼嵐拳]ティアマトガントレ・マグナ,風,格闘,嵐竜方陣・攻刃II,,281,2670
[吼嵐銃]ティアマトボルト・マグナ,風,銃,嵐竜方陣・攻刃,嵐竜方陣・背水,202,3050
[烈殻杖]コロッサスケーン・マグナ,火,杖,機炎方陣・攻刃II,,324,2450,コロッサス・マグナ討伐戦,2018/3/10
[烈殻銃]コロッサスカービン・マグナ,火,銃,機炎方陣・守護II,,204,3060
[烈殻拳]コロッサスフィスト・マグナ,火,格闘,機炎方陣・見切II,,280,2670
[烈殻刀]コロッサスブレード・マグナ,火,刀,機炎方陣・背水II,,210,3030
[海叫刃]レヴィアンゲイズ・マグナ,水,短剣,海神方陣・攻刃II,,273,2700,リヴァイアサン・マグナ討伐戦,2018/3/10
[海叫槍]レヴィアンスピア・マグナ,水,槍,海神方陣・技巧II,,295,2590
[海叫杖]レヴィアンセプター・マグナ,水,杖,海神方陣・治癒II,,328,2430
[海叫弓]レヴィアンボウ・マグナ,水,弓,海神方陣・守護II,,261,2830
[万創剣]世界樹の晶剣・マグナ,土,剣,創樹方陣・攻刃II,,245,2840,ユグドラシル・マグナ討伐戦,2018/3/10
[万創刃]世界樹の雫刃・マグナ,土,短剣,創樹方陣・守護II,,272,2700
[万創杖]世界樹の雫枝・マグナ,土,杖,創樹方陣・攻刃,創樹方陣・守護,327,2430
[万創弓]世界樹の蔦弓・マグナ,土,弓,創樹方陣・背水II,,260,2830
[崇騎斧]シュヴァリエブージ・マグナ,光,斧,騎解方陣・守護II,霧氷の攻刃,217,2990,シュヴァリエ・マグナ討伐戦,2018/3/22
[崇騎銃]シュヴァリエボルト・マグナ,光,銃,騎解方陣・攻刃II,地裂の守護,203,3050
[崇騎琴]シュヴァリエハープ・マグナ,光,楽器,騎解方陣・攻刃II,紅蓮の守護,265,2510
[崇騎剣]シュヴァリエソード・マグナ,光,剣,騎解方陣・神威,光の攻刃,244,2850
[幽絶槍]セレストホーン・マグナ,闇,槍,黒霧方陣・攻刃II,乱気の背水,289,2620,セレスト・マグナ討伐戦,2018/3/22
[幽絶斧]セレストザグナル・マグナ,闇,斧,黒霧方陣・攻刃II,霧氷の見切,213,3010
[幽絶琴]セレストハープ・マグナ,闇,楽器,黒霧方陣・守護II,紅蓮の技巧,261,2530
[幽絶拳]セレストクロー・マグナ,闇,格闘,黒霧方陣・攻刃,黒霧方陣・背水,278,2680
[五光槍]黄龍槍,光,槍,天光の攻刃II,震天の境界へと至りし者,336,3010,2018/11/24
[五光拳]黄龍拳,光,格闘,震天の雷鳴,震天の黄鱗,320,3080,2018/11/24
[五光刀]黄龍刀,光,刀,天光の暴君II,震天の祈り,246,3490,2018/11/24
[麟闇剣]麒麟剣,闇,剣,靂天の暗雲,靂天の黒鱗,275,3310,2018/11/24
[麟闇弓]麒麟弓,闇,弓,奈落の暴君II,靂天の極致,296,3285,2018/11/24
[麟闇弦]麒麟弦,闇,楽器,奈落の攻刃II,靂天の境界へと至りし者,300,2915,2018/11/24
